Date,Close,LNReg,NLNReg,LSTM,Arima,Prophet
11/11/2022,405,464.424577,415.054197,401.57187,517,561.1080304
11/14/2022,397,464.562802,414.817033,402.66965,517,561.5365737
11/15/2022,392,464.701026,414.580652,399.7649,517,561.4513959
11/16/2022,396,464.839251,414.345062,394.44553,517,561.7854664
11/17/2022,403.5,464.977475,414.110267,393.47775,517,561.8460648
11/18/2022,406,465.1157,413.876274,398.46832,517,561.9748806
11/21/2022,414,465.253925,413.643089,403.7335,517,562.0213611
11/22/2022,408.5,465.392149,413.410717,410.224,517,562.0817018
11/23/2022,406,465.530374,413.179165,410.3176,517,562.3910316
11/24/2022,403,465.668598,412.948437,407.0031,517,562.1597517
11/25/2022,410,465.806823,412.718539,403.03906,517,562.3274522
11/28/2022,422,465.945047,412.489477,405.02148,517,562.2085157
11/29/2022,429,466.083272,412.261255,414.34195,517,562.152005
11/30/2022,432,466.221496,412.033879,424.33313,517,562.014793
12/1/2022,439.5,466.359721,411.807354,430.20898,517,561.9003355
12/2/2022,442,466.497945,411.581684,435.55933,517,562.0506456
12/5/2022,459,466.63617,411.356875,439.175,517,561.6824343
12/6/2022,448,466.774395,411.132931,449.88,517,561.7408473
12/7/2022,449,466.912619,410.909856,450.29086,517,561.5449126
12/8/2022,455,467.050844,410.687656,447.995,517,561.4472999
12/9/2022,456,467.189068,410.466334,449.90482,517,561.307353
12/12/2022,452,467.327293,410.245895,452.74207,517,561.2298006
12/13/2022,459.5,467.465517,410.026343,451.96832,517,561.4567033
12/14/2022,451.5,467.603742,409.807682,454.88065,517,561.2036033
12/15/2022,446,467.741966,409.589915,452.76843,517,561.4133063
12/16/2022,447.5,467.880191,409.373048,447.39615,517,561.4014086
12/19/2022,453,468.018415,409.157083,445.22217,517,561.5161674
12/20/2022,445.5,468.15664,408.942024,448.52856,517,561.6116731
12/21/2022,447,468.294865,408.727874,447.28055,517,561.7867229
12/22/2022,443,468.433089,408.514638,446.14557,517,562.2769517
12/23/2022,443,468.571314,408.302319,443.52383,517,562.2769517
