Date,Close,LNReg,NLNReg,LSTM,Arima,Prophet
6/28/2022,480,474.167968,480.520347,468.64166,479,475.920263
6/29/2022,481.5,474.335495,480.324497,472.5618,479,475.2212749
6/30/2022,475.5,474.503021,480.12711,474.07538,479,475.2320187
7/1/2022,480,474.670548,479.928199,470.36316,479,474.7419287
7/4/2022,480,474.838074,479.727781,470.608,479,474.2082845
7/5/2022,480,475.0056,479.525871,471.5663,479,473.4730595
7/6/2022,477.5,475.173127,479.322485,472.06845,479,473.4162028
7/7/2022,481,475.340653,479.117637,470.6432,479,473.1490274
7/8/2022,477,475.508179,478.911344,471.84744,479,472.3441736
7/11/2022,470,475.675706,478.70362,470.46133,479,472.2412194
7/12/2022,481,475.843232,478.494481,465.28452,479,471.6331729
7/13/2022,478,476.010758,478.283942,469.2795,479,470.98122
7/14/2022,480.5,476.178285,478.072019,470.91132,479,470.131458
7/15/2022,491,476.345811,477.858727,472.44257,479,469.9680547
7/18/2022,486.5,476.513337,477.644082,479.2212,479,469.6065121
7/19/2022,484,476.680864,477.428099,479.85385,479,468.7235056
7/20/2022,483,476.84839,477.210794,477.18753,479,468.5623744
7/21/2022,503,477.015917,476.992181,474.95844,479,467.9195007
7/22/2022,517,477.183443,476.772277,486.47873,479,467.2589559
7/25/2022,507,477.350969,476.551097,501.81073,479,466.4291445
7/26/2022,493.5,477.518496,476.328656,501.17917,479,466.3158907
7/27/2022,490,477.686022,476.10497,489.41275,479,466.0356457
7/28/2022,495,477.853548,475.880054,481.16406,479,465.2652905
7/29/2022,504,478.021075,475.653924,482.39426,479,465.2476099
8/1/2022,498.5,478.188601,475.426595,490.53445,479,464.7776746
8/2/2022,500,478.356127,475.198082,491.35828,479,464.3175122
8/3/2022,503,478.523654,474.968401,490.96417,479,463.7127934
8/4/2022,502,478.69118,474.737568,492.38208,479,463.8459809
8/5/2022,502,478.858707,474.505597,492.64233,479,463.8296139
8/8/2022,501,479.026233,474.272504,492.50204,479,463.336204
8/9/2022,494.5,479.193759,474.038305,491.77667,479,463.6038128
8/10/2022,504,479.361286,473.803014,487.51074,479,463.4225476
8/11/2022,501,479.528812,473.566648,491.17767,479,463.2493511
8/12/2022,498,479.696338,473.329221,492.25464,479,462.9248103
8/15/2022,498,479.863865,473.090749,490.24475,479,463.3264267
8/16/2022,505,480.031391,472.851247,488.92023,479,463.5620193
8/17/2022,490.5,480.198917,472.61073,492.90894,479,463.2997324
8/18/2022,501,480.366444,472.369214,486.554,479,463.7737148
