Date,Close,LNReg,NLNReg,LSTM,Arima,Prophet
6/28/2021,468.5,380.365196,429.24492,471.51578,467,468.8114
6/29/2021,471.5,380.440178,429.390489,471.67584,467,469.2519
6/30/2021,481.5,380.515161,429.532164,475.19565,467,469.335
7/1/2021,484.5,380.590144,429.669947,483.88242,467,470.1273
7/2/2021,488,380.665127,429.803842,489.73303,467,470.3514
7/5/2021,489,380.740109,429.93385,492.90445,467,470.8269
7/6/2021,481.5,380.815092,430.059976,493.83847,467,471.3475
7/7/2021,481,380.890075,430.182222,488.5999,467,471.8324
7/8/2021,476,380.965058,430.300593,485.4052,467,472.5356
7/9/2021,482,381.04004,430.415093,481.98288,467,472.8552
7/12/2021,475,381.115023,430.525727,485.18936,467,473.8539
7/13/2021,468.5,381.190006,430.632501,483.2181,467,474.251
7/14/2021,463.5,381.264989,430.73542,476.76987,467,474.8638
7/15/2021,461,381.339971,430.83449,470.32898,467,475.4843
7/16/2021,459,381.414954,430.929719,466.7903,467,476.0313
7/19/2021,438,381.489937,431.021113,465.1175,467,476.7588
7/20/2021,446,381.56492,431.10868,451.1281,467,477.0658
7/21/2021,447,381.639902,431.192428,448.26825,467,478.017
7/22/2021,445,381.714885,431.272365,451.03958,467,478.3341
7/23/2021,451.5,381.789868,431.348499,451.75754,467,478.8376
7/26/2021,453,381.864851,431.42084,455.16623,467,479.3233
7/27/2021,452,381.939833,431.489397,457.6277,467,479.7142
7/28/2021,451,382.014816,431.554181,457.1822,467,480.269
7/29/2021,452,382.089799,431.615201,455.41562,467,480.3915
7/30/2021,458,382.164782,431.672468,455.12024,467,481.1514
8/2/2021,459.5,382.239764,431.725994,459.4062,467,481.2755
8/3/2021,477.5,382.314747,431.775789,462.96588,467,481.5892
8/4/2021,475,382.38973,431.821866,475.85184,467,481.8932
8/5/2021,470,382.464713,431.864237,480.53897,467,482.1148
8/6/2021,467,382.539695,431.902914,476.25995,467,482.5169
8/9/2021,467,382.614678,431.93791,470.83426,467,482.5069
8/10/2021,468,382.689661,431.969239,469.37387,467,483.1573
8/11/2021,473,382.764644,431.996914,471.04645,467,483.1976
8/12/2021,470,382.839626,432.02095,475.9042,467,483.4549
8/13/2021,468,382.914609,432.04136,476.20526,467,483.731
8/16/2021,468.5,382.989592,432.058159,473.69833,467,483.9535
8/17/2021,467,383.064575,432.071363,472.64673,467,484.3852
8/18/2021,468,383.139557,432.080987,471.87607,467,484.4325
8/19/2021,465,383.21454,432.087047,472.44907,467,485.1665
8/20/2021,457.5,383.289523,432.089558,470.98248,467,485.3145
8/23/2021,453,383.364506,432.088538,464.9638,467,485.701
8/24/2021,453.5,383.439488,432.084002,458.92218,467,486.1247
8/25/2021,451,383.514471,432.075969,457.42712,467,486.51
8/26/2021,449,383.589454,432.064454,456.51923,467,487.1157
8/27/2021,454,383.664437,432.049477,454.86786,467,487.3446
8/31/2021,453,383.739419,432.031054,457.21475,467,488.2638
9/1/2021,456,383.814402,432.009205,458.20895,467,488.5965
9/2/2021,460.5,383.889385,431.983948,459.8908,467,489.1634
9/3/2021,461,383.964368,431.955301,463.44104,467,489.7596
9/6/2021,459.5,384.03935,431.923284,465.27426,467,490.3058
9/7/2021,461,384.114333,431.887917,464.2857,467,491.0579
9/8/2021,455,384.189316,431.849219,464.2307,467,491.4156
9/9/2021,455,384.264299,431.807209,460.60178,467,492.4438
9/10/2021,456,384.339281,431.76191,458.57993,467,492.8637
9/13/2021,460,384.414264,431.71334,459.17102,467,493.4947
9/14/2021,458,384.489247,431.661521,462.7541,467,494.1306
9/15/2021,459,384.56423,431.606474,463.28998,467,494.6919
9/16/2021,459,384.639212,431.54822,463.18948,467,495.4342
9/17/2021,461.5,384.714195,431.486781,463.00537,467,495.7579
9/20/2021,462.5,384.789178,431.422178,464.6345,467,496.7286
9/21/2021,460,384.864161,431.354435,466.32916,467,497.0689
9/22/2021,460.5,384.939143,431.283572,465.1937,467,497.5996
9/23/2021,463,385.014126,431.209613,464.42328,467,498.1166
9/24/2021,458.5,385.089109,431.13258,466.04007,467,498.5423
9/27/2021,455,385.164092,431.052496,464.2484,467,499.1349
9/28/2021,454,385.239074,430.969385,460.44595,467,499.297
9/29/2021,454,385.314057,430.88327,458.12628,467,500.0969
9/30/2021,457,385.38904,430.794174,457.87988,467,500.2595
10/1/2021,456,385.464023,430.702122,460.3297,467,500.6082
10/4/2021,455,385.539005,430.607137,461.06354,467,500.9413
10/5/2021,456,385.613988,430.509244,460.01913,467,501.1835
10/6/2021,457,385.688971,430.408467,459.8151,467,501.5951
10/7/2021,464.5,385.763954,430.304831,460.64737,467,501.5808
10/8/2021,464,385.838936,430.19836,466.15616,467,502.2102
10/11/2021,465,385.913919,430.089079,468.73984,467,502.2102
10/12/2021,474,385.988902,429.977014,469.29373,467,502.4053
10/13/2021,478.5,386.063885,429.86219,475.00128,467,502.5947
10/14/2021,481,386.138867,429.744632,481.27823,467,502.7042
10/15/2021,480,386.21385,429.624366,485.0055,467,502.9945
10/18/2021,494.5,386.288833,429.501418,484.8202,467,502.8708
10/19/2021,494.5,386.363816,429.375813,493.89874,467,503.4032
10/20/2021,494,386.438798,429.247578,499.2775,467,503.3184
10/21/2021,492,386.513781,429.116739,499.58066,467,503.441
10/22/2021,494.5,386.588764,428.983322,497.23538,467,503.5702
